date,channel,country,os,impressions,clicks,installs,spend,revenue
2017-05-18,unityads,US,ios,6929,202,48,96.0,40.0
2017-05-18,vungle,GB,android,6843,201,50,100.0,50.0
2017-05-18,vungle,GB,ios,10419,343,51,102.0,208.8
2017-05-18,vungle,US,android,9730,289,68,136.0,200.5
2017-05-18,vungle,US,ios,6739,199,56,112.0,70.0
2017-05-19,adcolony,US,android,22849,578,112,173.4,199.6
2017-05-19,adcolony,US,ios,10406,233,37,69.9,10.0
2017-05-19,apple_search_ads,DE,ios,3399,152,27,54.0,99.6
2017-05-19,apple_search_ads,GB,ios,6687,234,36,72.0,129.27
2017-05-19,apple_search_ads,US,ios,22216,718,140,280.0,439.2
2017-05-19,chartboost,CA,ios,3429,101,19,38.0,69.6
2017-05-19,chartboost,DE,android,3332,95,22,44.0,50.24
2017-05-19,chartboost,DE,ios,3476,29,3,15.0,0.0
2017-05-19,chartboost,FR,android,3410,131,26,52.0,30.0
2017-05-19,chartboost,FR,ios,3454,68,5,20.0,58.4
2017-05-19,chartboost,GB,android,3211,128,24,48.0,59.6
2017-05-19,chartboost,GB,ios,3192,123,23,46.0,20.0
2017-05-19,chartboost,US,android,3381,114,32,64.0,130.32
2017-05-19,chartboost,US,ios,6383,200,34,68.0,109.44
2017-05-19,facebook,CA,android,3207,95,20,38.0,20.0
2017-05-19,facebook,DE,android,3171,78,12,31.2,60.24
2017-05-19,facebook,DE,ios,10290,305,63,122.0,138.0
2017-05-19,facebook,FR,android,3475,105,24,42.0,109.2
2017-05-19,facebook,GB,android,6369,183,20,78.5,20.0
2017-05-19,facebook,US,android,3170,121,16,48.4,10.0
2017-05-19,facebook,US,ios,3421,98,15,39.2,108.89
2017-05-19,google,CA,android,3375,92,14,33.33,50.0
2017-05-19,google,DE,android,3479,31,2,33.33,0.0
2017-05-19,google,FR,android,3222,115,32,33.33,69.27
2017-05-19,google,FR,ios,3485,91,13,33.33,20.0
2017-05-19,google,GB,android,3494,125,32,33.33,69.6
2017-05-19,google,GB,ios,3486,122,33,33.33,149.2
2017-05-19,google,US,android,3255,113,18,33.33,100.32
2017-05-19,google,US,ios,10009,292,59,99.99,248.4
2017-05-19,unityads,CA,android,3411,85,18,36.0,0.0
2017-05-19,unityads,CA,ios,3359,162,27,54.0,49.6
2017-05-19,unityads,DE,android,3302,84,14,28.0,0.0
2017-05-19,unityads,GB,android,6535,203,46,92.0,100.32
2017-05-19,unityads,GB,ios,3223,100,17,34.0,59.6
2017-05-19,unityads,US,android,6918,235,38,76.0,10.0
2017-05-19,unityads,US,ios,6725,259,46,142.0,179.2
2017-05-19,vungle,GB,android,6503,203,32,64.0,60.0
2017-05-19,vungle,GB,ios,9599,406,81,162.0,208.8
2017-05-19,vungle,US,android,6754,200,38,76.0,180.24
2017-05-19,vungle,US,ios,10115,273,67,134.0,190.5
2017-05-20,adcolony,US,android,13022,475,100,142.5,309.52
2017-05-20,adcolony,US,ios,20464,389,74,116.7,118.0
2017-05-20,apple_search_ads,DE,ios,3365,151,22,44.0,20.0
2017-05-20,apple_search_ads,GB,ios,6610,231,37,74.0,50.0
2017-05-20,apple_search_ads,US,ios,23045,701,130,260.0,498.0
2017-05-20,chartboost,CA,ios,3410,107,23,46.0,0.0
2017-05-20,chartboost,DE,ios,6588,127,32,97.0,30.0
2017-05-20,chartboost,FR,android,3216,62,4,16.0,0.0
2017-05-20,chartboost,FR,ios,3214,139,27,54.0,89.27
2017-05-20,chartboost,GB,android,3476,120,28,56.0,10.0
2017-05-20,chartboost,GB,ios,3280,126,21,42.0,69.6
2017-05-20,chartboost,US,ios,10119,322,55,110.0,210.64
2017-05-20,facebook,CA,android,3445,109,16,43.6,50.0
2017-05-20,facebook,DE,android,6360,188,28,75.2,60.0
2017-05-20,facebook,DE,ios,6392,213,38,85.2,187.6
2017-05-20,facebook,FR,ios,3221,97,19,38.8,59.6
2017-05-20,facebook,GB,android,3332,114,8,45.6,0.0
2017-05-20,facebook,GB,ios,3354,70,9,35.0,50.0
2017-05-20,facebook,US,android,3169,96,18,38.4,118.89
2017-05-20,facebook,US,ios,3385,117,19,46.8,49.6
2017-05-20,google,CA,ios,3409,101,21,33.33,30.0
2017-05-20,google,DE,ios,3253,34,3,33.33,0.0
2017-05-20,google,FR,android,3351,112,18,33.33,10.0
2017-05-20,google,FR,ios,3267,93,15,33.33,50.5
2017-05-20,google,GB,android,3236,139,26,33.33,119.2
2017-05-20,google,GB,ios,3465,135,21,33.33,10.0
2017-05-20,google,US,android,6711,163,28,66.66,160.64
2017-05-20,google,US,ios,6742,176,32,66.66,119.92
2017-05-20,unityads,CA,android,3361,100,26,52.0,60.0
2017-05-20,unityads,CA,ios,3236,130,21,42.0,10.0
2017-05-20,unityads,DE,ios,3333,111,15,30.0,70.5
2017-05-20,unityads,GB,android,6701,216,38,76.0,90.32
2017-05-20,unityads,GB,ios,3415,96,19,38.0,248.4
2017-05-20,unityads,US,android,3453,155,34,136.0,149.2
2017-05-20,unityads,US,ios,10468,329,59,118.0,99.27
2017-05-20,vungle,GB,android,9971,374,78,156.0,119.6
2017-05-20,vungle,GB,ios,6841,243,32,64.0,119.6
2017-05-20,vungle,US,android,3338,111,18,36.0,60.0
2017-05-20,vungle,US,ios,12712,402,72,144.0,159.92
2017-05-21,adcolony,US,android,27016,574,108,172.2,310.56
2017-05-21,adcolony,US,ios,6511,239,48,71.7,188.8
2017-05-21,apple_search_ads,DE,ios,3213,129,28,56.0,79.6
2017-05-21,apple_search_ads,GB,ios,6975,227,45,90.0,50.0
2017-05-21,apple_search_ads,US,ios,23845,738,141,282.0,678.57
2017-05-21,chartboost,CA,android,3199,84,20,40.0,119.2
2017-05-21,chartboost,DE,android,3292,27,4,20.0,0.0
2017-05-21,chartboost,DE,ios,3187,91,17,34.0,80.24
2017-05-21,chartboost,FR,android,6972,192,26,64.0,30.0
2017-05-21,chartboost,GB,ios,6375,250,56,112.0,169.2
2017-05-21,chartboost,US,android,10123,301,50,100.0,219.76
2017-05-21,facebook,CA,android,3365,97,20,38.8,0.0
2017-05-21,facebook,DE,android,10396,340,84,136.0,269.2
2017-05-21,facebook,DE,ios,3407,74,11,43645,20.0
2017-05-21,facebook,FR,ios,3344,99,23,39.6,69.6
2017-05-21,facebook,GB,android,3487,120,16,48.0,68.4
2017-05-21,facebook,GB,ios,3227,54,5,27.0,0.0
2017-05-21,facebook,US,android,3262,99,18,39.6,10.0
2017-05-21,facebook,US,ios,3228,138,21,55.2,79.6
2017-05-21,google,CA,ios,3265,89,21,33.33,120.0
2017-05-21,google,DE,ios,3497,36,1,33.33,10.0
2017-05-21,google,FR,android,3327,84,12,33.33,20.0
2017-05-21,google,FR,ios,3254,106,23,33.33,98.55
2017-05-21,google,GB,android,3208,126,18,33.33,69.6
2017-05-21,google,GB,ios,3423,145,19,33.33,109.2
2017-05-21,google,US,android,9900,310,54,99.99,60.0
2017-05-21,google,US,ios,3483,123,21,33.33,90.32
2017-05-21,unityads,CA,android,3264,95,16,32.0,50.0
2017-05-21,unityads,CA,ios,3264,124,29,58.0,178.8
2017-05-21,unityads,DE,android,3421,110,22,44.0,60.5
2017-05-21,unityads,GB,android,6917,197,40,80.0,169.2
2017-05-21,unityads,GB,ios,3426,102,21,42.0,70.32
2017-05-21,unityads,US,ios,13747,494,98,266.0,409.44
2017-05-21,vungle,GB,android,6942,242,38,76.0,208.8
2017-05-21,vungle,GB,ios,9700,329,75,150.0,228.8
2017-05-21,vungle,US,android,9994,327,80,160.0,130.1
2017-05-21,vungle,US,ios,6366,200,48,96.0,100.0
2017-05-22,adcolony,US,android,16043,430,64,129.0,138.0
2017-05-22,adcolony,US,ios,16188,404,71,121.2,210.64
2017-05-22,apple_search_ads,DE,ios,3248,136,28,56.0,79.6
2017-05-22,apple_search_ads,GB,ios,6787,262,48,96.0,90.0
2017-05-22,apple_search_ads,US,ios,24479,676,123,246.0,469.12
2017-05-22,chartboost,CA,ios,3168,105,15,30.0,49.6
2017-05-22,chartboost,DE,android,6606,122,18,48.0,10.0
2017-05-22,chartboost,FR,ios,6519,210,40,98.0,0.0
2017-05-22,chartboost,GB,ios,6972,246,48,96.0,100.0
2017-05-22,chartboost,US,android,3386,100,18,36.0,40.0
2017-05-22,chartboost,US,ios,6764,176,38,76.0,178.89
2017-05-22,facebook,CA,android,3248,87,10,34.8,60.32
2017-05-22,facebook,DE,android,13771,402,92,160.8,208.8
2017-05-22,facebook,FR,ios,3354,101,21,40.4,0.0
2017-05-22,facebook,GB,ios,6597,194,20,84.7,20.0
2017-05-22,facebook,US,ios,6527,220,50,88.0,129.44
2017-05-22,google,CA,ios,3451,89,17,33.33,10.0
2017-05-22,google,DE,ios,3267,27,1,33.33,0.0
2017-05-22,google,FR,ios,6797,196,42,66.66,20.0
2017-05-22,google,GB,android,3353,117,24,33.33,30.0
2017-05-22,google,GB,ios,3492,129,25,33.33,99.2
2017-05-22,google,US,android,6817,205,36,66.66,220.96
2017-05-22,google,US,ios,6583,184,36,66.66,218.8
2017-05-22,unityads,CA,android,6526,237,44,88.0,209.2
2017-05-22,unityads,DE,android,3472,111,24,48.0,30.0
2017-05-22,unityads,GB,android,6718,204,46,92.0,50.0
2017-05-22,unityads,GB,ios,3269,104,25,50.0,10.0
2017-05-22,unityads,US,android,6364,229,46,144.0,400.08
2017-05-22,unityads,US,ios,6589,227,36,72.0,59.6
2017-05-22,vungle,GB,android,9883,360,56,112.0,218.8
2017-05-22,vungle,GB,ios,6825,238,42,84.0,99.6
2017-05-22,vungle,US,android,6716,193,36,72.0,100.5
2017-05-22,vungle,US,ios,10262,296,55,110.0,249.52
2017-05-23,adcolony,US,android,22189,464,82,139.2,479.04
2017-05-23,adcolony,US,ios,9510,321,61,96.3,178.8
2017-05-23,apple_search_ads,DE,ios,3199,139,27,54.0,20.0
2017-05-23,apple_search_ads,GB,ios,6832,236,54,108.0,70.0
2017-05-23,apple_search_ads,US,ios,24331,731,135,270.0,567.93
2017-05-23,chartboost,CA,ios,3484,99,21,42.0,40.0
2017-05-23,chartboost,DE,android,3441,36,6,30.0,0.0
2017-05-23,chartboost,DE,ios,3382,80,19,38.0,50.24
2017-05-23,chartboost,FR,android,6556,198,34,76.0,20.0
2017-05-23,chartboost,GB,ios,6639,311,70,140.0,208.8
2017-05-23,chartboost,US,android,6520,220,50,100.0,100.0
2017-05-23,chartboost,US,ios,3343,92,19,38.0,69.44
2017-05-23,facebook,CA,ios,3364,110,19,44.0,120.64
2017-05-23,facebook,DE,android,3443,168,36,67.2,129.2
2017-05-23,facebook,DE,ios,10218,269,55,107.6,90.24
2017-05-23,facebook,FR,ios,3394,109,19,43.6,10.0
2017-05-23,facebook,GB,ios,6369,207,26,89.9,30.0
2017-05-23,facebook,US,ios,6584,182,36,72.8,79.44
2017-05-23,google,CA,ios,3454,96,19,33.33,80.0
2017-05-23,google,DE,android,3326,41,4,33.33,10.0
2017-05-23,google,FR,android,3307,98,16,33.33,10.0
2017-05-23,google,FR,ios,3488,97,17,33.33,10.0
2017-05-23,google,GB,android,3170,142,34,33.33,149.2
2017-05-23,google,GB,ios,3437,132,29,33.33,208.4
2017-05-23,google,US,android,3478,90,18,33.33,79.6
2017-05-23,google,US,ios,10087,270,57,99.99,440.08
2017-05-23,unityads,CA,android,6560,221,46,92.0,69.6
2017-05-23,unityads,DE,android,3461,88,16,32.0,20.0
2017-05-23,unityads,GB,android,3271,93,20,40.0,69.6
2017-05-23,unityads,GB,ios,6611,187,46,92.0,119.6
2017-05-23,unityads,US,android,10416,368,80,216.0,149.2
2017-05-23,unityads,US,ios,3307,123,23,46.0,200.96
2017-05-23,vungle,GB,android,13627,466,78,156.0,159.6
2017-05-23,vungle,GB,ios,3311,127,19,38.0,49.6
2017-05-23,vungle,US,android,9909,283,62,124.0,170.32
2017-05-23,vungle,US,ios,6665,200,42,84.0,352.64
2017-05-24,adcolony,US,android,24179,469,80,140.7,150.32
2017-05-24,adcolony,US,ios,10289,369,61,110.7,258.8
2017-05-24,apple_search_ads,DE,ios,3355,129,27,54.0,169.2
2017-05-24,apple_search_ads,GB,ios,6578,209,47,94.0,159.27
2017-05-24,apple_search_ads,US,ios,23339,674,123,246.0,399.68
2017-05-24,chartboost,CA,android,3170,102,22,44.0,49.6
2017-05-24,chartboost,DE,android,6462,126,32,88.0,20.0
2017-05-24,chartboost,FR,ios,6378,182,34,78.0,30.0
2017-05-24,chartboost,GB,ios,6497,237,48,96.0,50.0
2017-05-24,chartboost,US,android,6935,188,28,56.0,30.0
2017-05-24,chartboost,US,ios,3479,118,21,42.0,60.0
2017-05-24,facebook,CA,ios,3428,97,25,38.8,30.0
2017-05-24,facebook,DE,android,6345,223,40,89.2,89.6
2017-05-24,facebook,DE,ios,6454,151,30,60.4,30.0
2017-05-24,facebook,FR,ios,3408,86,21,34.4,109.2
2017-05-24,facebook,GB,android,3450,51,4,43610,0.0
2017-05-24,facebook,GB,ios,3469,140,11,56.0,0.0
2017-05-24,facebook,US,android,3249,102,22,40.8,168.89
2017-05-24,facebook,US,ios,3362,128,31,51.2,129.2
2017-05-24,google,CA,ios,3313,108,29,33.33,90.0
2017-05-24,google,DE,ios,3432,27,3,33.33,0.0
2017-05-24,google,FR,android,3398,105,14,33.33,49.27
2017-05-24,google,FR,ios,3466,109,15,33.33,0.0
2017-05-24,google,GB,android,6582,245,44,66.66,159.2
2017-05-24,google,US,android,6513,181,34,66.66,148.8
2017-05-24,google,US,ios,6644,204,48,66.66,159.92
2017-05-24,unityads,CA,ios,6618,227,34,68.0,70.0
2017-05-24,unityads,DE,android,3428,100,20,40.0,20.0
2017-05-24,unityads,GB,android,6561,211,36,72.0,90.32
2017-05-24,unityads,GB,ios,3383,78,17,34.0,89.6
2017-05-24,unityads,US,android,3394,114,24,96.0,158.8
2017-05-24,unityads,US,ios,9832,315,61,122.0,170.64
2017-05-24,vungle,GB,android,6752,270,46,92.0,109.6
2017-05-24,vungle,GB,ios,9557,317,59,118.0,178.8
2017-05-24,vungle,US,android,10177,280,52,104.0,90.32
2017-05-24,vungle,US,ios,6409,201,44,88.0,119.6
2017-05-25,adcolony,US,android,13424,385,84,115.5,207.2
2017-05-25,adcolony,US,ios,20726,453,72,135.9,149.44
2017-05-25,apple_search_ads,DE,ios,3443,132,36,72.0,139.2
2017-05-25,apple_search_ads,GB,ios,6457,226,45,90.0,90.0
2017-05-25,apple_search_ads,US,ios,23566,752,144,288.0,230.0
2017-05-25,chartboost,CA,ios,3374,93,15,30.0,20.0
2017-05-25,chartboost,DE,ios,6689,131,20,67.0,30.0
2017-05-25,chartboost,FR,ios,6596,191,32,82.0,50.0
2017-05-25,chartboost,GB,android,3226,118,24,48.0,10.0
2017-05-25,chartboost,GB,ios,3261,152,27,54.0,119.2
2017-05-25,chartboost,US,android,3192,105,12,24.0,70.32
2017-05-25,chartboost,US,ios,6586,197,34,68.0,89.44
2017-05-25,facebook,CA,android,3308,98,14,39.2,90.32
2017-05-25,facebook,DE,android,6890,169,38,67.6,40.0
2017-05-25,facebook,DE,ios,6760,247,52,98.8,289.27
2017-05-25,facebook,FR,android,3228,105,24,42.0,30.0
2017-05-25,facebook,GB,android,3498,54,10,27.0,10.0
2017-05-25,facebook,GB,ios,3231,119,11,47.6,0.0
2017-05-25,facebook,US,ios,6377,214,36,85.6,30.0
2017-05-25,google,CA,ios,3233,117,25,33.33,80.0
2017-05-25,google,DE,ios,3432,32,1,33.33,0.0
2017-05-25,google,FR,android,6609,212,38,66.66,90.5
2017-05-25,google,GB,android,3217,132,28,33.33,99.6
2017-05-25,google,GB,ios,3353,127,27,33.33,20.0
2017-05-25,google,US,android,9773,273,52,99.99,70.0
2017-05-25,google,US,ios,3432,104,21,33.33,69.6
2017-05-25,unityads,CA,android,6642,227,44,88.0,30.0
2017-05-25,unityads,DE,ios,3415,108,23,46.0,50.0
2017-05-25,unityads,GB,android,3332,88,20,40.0,120.32
2017-05-25,unityads,GB,ios,6496,181,34,68.0,10.0
2017-05-25,unityads,US,android,3356,82,12,24.0,0.0
2017-05-25,unityads,US,ios,10187,365,71,196.0,40.0
2017-05-25,vungle,GB,android,6720,219,40,80.0,109.6
2017-05-25,vungle,GB,ios,9556,333,67,134.0,388.8
2017-05-25,vungle,US,android,3468,100,26,52.0,80.5
2017-05-25,vungle,US,ios,13137,366,82,164.0,441.28
2017-05-26,adcolony,US,android,19670,483,90,144.9,179.04
2017-05-26,adcolony,US,ios,12945,350,70,105.0,308.96
2017-05-26,apple_search_ads,DE,ios,3465,116,24,48.0,79.6
2017-05-26,apple_search_ads,GB,ios,6592,220,45,90.0,99.27
2017-05-26,apple_search_ads,US,ios,23048,720,139,278.0,210.0
2017-05-26,chartboost,CA,android,3174,101,22,44.0,69.6
2017-05-26,chartboost,DE,android,3258,31,8,40.0,96.8
2017-05-26,chartboost,DE,ios,3327,93,19,38.0,80.24
2017-05-26,chartboost,FR,android,6571,177,28,68.0,79.27
2017-05-26,chartboost,GB,android,3459,131,34,68.0,89.6
2017-05-26,chartboost,GB,ios,3263,134,29,58.0,89.6
2017-05-26,chartboost,US,android,3195,99,24,48.0,160.64
2017-05-26,chartboost,US,ios,6939,177,42,84.0,118.89
2017-05-26,facebook,CA,android,3271,78,18,31.2,30.0
2017-05-26,facebook,DE,android,13523,370,78,148.0,199.6
2017-05-26,facebook,FR,ios,3171,103,15,41.2,10.0
2017-05-26,facebook,GB,android,3438,52,4,26.0,10.0
2017-05-26,facebook,GB,ios,3330,139,15,55.6,0.0
2017-05-26,facebook,US,ios,6372,222,44,88.8,178.89
2017-05-26,google,CA,android,3261,94,16,33.33,20.0
2017-05-26,google,DE,ios,3460,35,5,33.33,68.0
2017-05-26,google,FR,android,6500,210,38,66.66,59.27
2017-05-26,google,GB,android,6703,269,48,66.66,129.2
2017-05-26,google,US,android,3479,124,20,33.33,40.0
2017-05-26,google,US,ios,9863,313,61,99.99,179.2
2017-05-26,unityads,CA,ios,6363,228,40,80.0,99.6
2017-05-26,unityads,DE,ios,3477,112,23,46.0,70.5
2017-05-26,unityads,GB,android,3284,89,24,48.0,160.64
2017-05-26,unityads,GB,ios,6745,188,34,68.0,149.2
2017-05-26,unityads,US,android,10063,321,66,172.0,79.6
2017-05-26,unityads,US,ios,3296,105,19,38.0,10.0
2017-05-26,vungle,GB,android,6352,242,58,116.0,100.0
2017-05-26,vungle,GB,ios,9980,346,63,126.0,377.6
2017-05-26,vungle,US,android,10277,299,62,124.0,160.5
2017-05-26,vungle,US,ios,6769,211,38,76.0,241.28
2017-05-27,adcolony,US,android,16174,372,66,111.6,108.0
2017-05-27,adcolony,US,ios,13677,407,92,122.1,199.6
2017-05-27,apple_search_ads,DE,ios,3332,121,21,42.0,20.0
2017-05-27,apple_search_ads,GB,ios,6467,240,58,116.0,158.55
2017-05-27,apple_search_ads,US,ios,23116,759,168,336.0,588.8
2017-05-27,chartboost,CA,ios,3186,80,15,30.0,69.6
2017-05-27,chartboost,DE,android,3266,19,2,10.0,0.0
2017-05-27,chartboost,DE,ios,3167,92,21,42.0,90.24
2017-05-27,chartboost,FR,android,6946,209,32,76.0,216.22
2017-05-27,chartboost,GB,android,3380,136,30,60.0,416.8
2017-05-27,chartboost,GB,ios,3467,146,23,46.0,99.6
2017-05-27,chartboost,US,android,9797,286,62,124.0,100.0
2017-05-27,facebook,CA,android,3261,93,18,37.2,10.0
2017-05-27,facebook,DE,android,10046,276,48,110.4,50.0
2017-05-27,facebook,DE,ios,3345,119,21,47.6,10.0
2017-05-27,facebook,FR,ios,3173,106,23,42.4,79.6
2017-05-27,facebook,GB,android,3350,69,8,34.5,0.0
2017-05-27,facebook,GB,ios,3170,150,13,60.0,10.0
2017-05-27,facebook,US,android,6924,224,48,89.6,159.04
2017-05-27,google,CA,android,3266,109,22,33.33,20.0
2017-05-27,google,FR,android,6561,187,42,66.66,90.5
2017-05-27,google,GB,android,6760,256,52,66.66,208.8
2017-05-27,google,US,android,9722,310,66,99.99,169.92
2017-05-27,google,US,ios,3337,98,17,33.33,79.6
2017-05-27,unityads,CA,android,3255,115,22,44.0,20.0
2017-05-27,unityads,CA,ios,3309,101,23,46.0,20.0
2017-05-27,unityads,DE,ios,3226,95,13,26.0,10.0
2017-05-27,unityads,GB,android,3188,83,14,28.0,0.0
2017-05-27,unityads,GB,ios,6942,186,38,76.0,20.0
2017-05-27,unityads,US,android,6587,223,36,104.0,60.0
2017-05-27,unityads,US,ios,6428,243,52,104.0,50.0
2017-05-27,vungle,GB,android,6680,267,52,104.0,119.6
2017-05-27,vungle,GB,ios,9737,301,55,110.0,109.6
2017-05-27,vungle,US,android,6935,199,44,88.0,89.6
2017-05-27,vungle,US,ios,10101,304,59,118.0,50.0
2017-05-28,adcolony,US,android,10288,258,50,77.4,198.33
2017-05-28,adcolony,US,ios,24480,560,95,168.0,130.0
2017-05-28,apple_search_ads,DE,ios,3338,142,28,56.0,89.6
2017-05-28,apple_search_ads,GB,ios,6575,236,31,62.0,50.0
2017-05-28,apple_search_ads,US,ios,24086,689,145,290.0,638.4
2017-05-28,chartboost,CA,android,3279,85,16,32.0,30.0
2017-05-28,chartboost,DE,android,3464,43,12,60.0,0.0
2017-05-28,chartboost,DE,ios,3216,116,23,46.0,40.0
2017-05-28,chartboost,FR,android,3449,125,28,56.0,79.27
2017-05-28,chartboost,FR,ios,3445,83,9,36.0,10.0
2017-05-28,chartboost,GB,android,3455,132,20,40.0,10.0
2017-05-28,chartboost,GB,ios,3260,139,21,42.0,59.6
2017-05-28,chartboost,US,android,6443,187,38,76.0,120.64
2017-05-28,chartboost,US,ios,3299,92,15,30.0,30.0
2017-05-28,facebook,CA,android,3287,92,24,36.8,70.32
2017-05-28,facebook,DE,android,3382,136,22,54.4,0.0
2017-05-28,facebook,DE,ios,10015,251,51,100.4,130.24
2017-05-28,facebook,FR,android,3186,93,18,37.2,59.6
2017-05-28,facebook,GB,android,3374,69,6,34.5,50.0
2017-05-28,facebook,GB,ios,3334,136,15,54.4,10.0
2017-05-28,facebook,US,android,6869,213,44,85.2,69.6
2017-05-28,google,CA,android,3251,89,18,33.33,40.0
2017-05-28,google,DE,android,3361,35,4,33.33,10.0
2017-05-28,google,FR,android,3238,94,20,33.33,0.0
2017-05-28,google,FR,ios,3201,104,23,33.33,80.5
2017-05-28,google,GB,android,6835,258,44,66.66,139.2
2017-05-28,google,US,android,3215,103,18,33.33,200.96
2017-05-28,google,US,ios,9561,284,53,99.99,259.84
2017-05-28,unityads,CA,android,6671,247,48,96.0,80.0
2017-05-28,unityads,DE,ios,3268,114,19,38.0,131.0
2017-05-28,unityads,GB,android,6503,196,42,84.0,139.92
2017-05-28,unityads,GB,ios,3298,83,17,34.0,129.2
2017-05-28,unityads,US,android,13278,441,92,240.0,289.52
2017-05-28,vungle,GB,android,9598,346,72,144.0,100.0
2017-05-28,vungle,GB,ios,6592,255,48,96.0,79.6
2017-05-28,vungle,US,android,6478,188,40,80.0,179.52
2017-05-28,vungle,US,ios,9952,311,71,142.0,90.32
2017-05-29,adcolony,US,android,20942,527,96,158.1,109.6
2017-05-29,adcolony,US,ios,13114,299,76,89.7,297.61
2017-05-29,apple_search_ads,DE,ios,3209,129,27,54.0,20.0
